Event name,Organizer type,Attendees,Oppotunities,Attendance,Start,End,Website,Sponsorship site,Sponsor download,LinkedIn,Attendee list,Venue,City,State of province,Country,Low price non-members,High price non-memebers,Early bird deadline,Sponsorship contact email,Sponsorship contact name,Files and media,Latest sponsor list,Sponsors & Exhibitors,Peek URL,Notes
"National Conference on AI Law, Ethics and Compliance",['Promoter'],"['Law firms', 'In-House']","['Attend (non-member)', 'Sponsor']",500-1000 people,10/31/2023,11/01/2023,https://www.americanconference.com/AI-Law/,https://www.americanconference.com/AI-Law/sponsors/,https://www.americanconference.com/AI-Law/resources/,https://www.linkedin.com/company/american-conference-institute/,,DC Bar Assocation,Washington,DC,USA,,,,d.maksad@americanconference.com,Danny Maksad,,https://www.americanconference.com/AI-Law/sponsors/,Guidepost,,
ABA Women in Litigation Joint CLE Conference,"['Bar Assn', 'Affinity']",['Law firms'],"['Attend (member)', 'Sponsor', 'Exhibit']",100-500 people,11/01/2023,11/03/2023,https://web.cvent.com/event/18d9313e-41a5-472e-8a96-b5c4046b4409/websitePage:0e343874-f673-43aa-8bd9-e73c7350edee,https://web.cvent.com/event/18d9313e-41a5-472e-8a96-b5c4046b4409/websitePage:0e343874-f673-43aa-8bd9-e73c7350edee,,,,San Diego Mission Bay Resort,San Diego,CA,USA,$550.00,,10/11/2023,maria.gamboa@americanbar.org,,,https://web.cvent.com/event/18d9313e-41a5-472e-8a96-b5c4046b4409/websitePage:0e343874-f673-43aa-8bd9-e73c7350edee,LexisNexis Bradley Nelson Mullins BlankRome MoloLamken Fenwick Fox Rothschild LLP Godfrey Kahn S.C. Haynes Boone Munger Tolles & Olson LLP Phelps Stewart Law Group Baker Donelson Complex Appellate Covington Farella Braun + Martel Klinedinst Attorneys Morgan Lewis Robbins Geller Rudman & Dowd LLP Schoeman Updike & Kaufman LLP Snell & Wilmer Thompson Coe Young Conaway American Arbitration Association,,
California Lawyers Association Annual Meeting of the Tax Bar and Tax Policy Conference,"['Bar Assn', 'Practice Assn']",['Law firms'],"['Attend (member)', 'Attend (non-member)', 'Sponsor', 'Exhibit']",100-500 people,11/01/2023,11/03/2023,https://calawyers.org/event/2023-annual-meeting-of-tax-bar-and-tax-policy-conference/,,,https://www.linkedin.com/company/calawyersorg/,,"Omni Rancho Las Palmas, Rancho Mirage, CA",Palm Springs,CA,USA,,,,,,,,,,
Canadian Bar Association Women Lawyers Forum Conference,"['Bar Assn', 'Affinity']","['In-House', 'Law firms']","['Attend (member)', 'Attend (non-member)', 'Sponsor']",500-1000 people,11/02/2023,11/03/2023,http://www.cbapd.org/details_en.aspx?id=NA_NA23WLF02A,https://cba.org/CBAMediaLibrary/cba_na/pd/WLF/2023/2023CBAWomenLawyersForumConfSponsorshipOpps.pdf?_ga=2.110723589.1845146952.1690568471-323038783.1690568471&_gl=1*r2omvh*_ga*MzIzMDM4NzgzLjE2OTA1Njg0NzE.*_ga_YTMHKDEBK2*MTY5MDU3NDE0Ny4yLjEuMTY5MDU3NTY5MS42MC4wLjA.,https://cba.org/CBAMediaLibrary/cba_na/pd/WLF/2023/2023CBAWomenLawyersForumConfSponsorshipOpps.pdf?_ga=2.110723589.1845146952.1690568471-323038783.1690568471&_gl=1*r2omvh*_ga*MzIzMDM4NzgzLjE2OTA1Njg0NzE.*_ga_YTMHKDEBK2*MTY5MDU3NDE0Ny4yLjEuMTY5MDU3NTY5MS42MC4wLjA.,https://www.linkedin.com/showcase/cba-wlf/?originalSubdomain=ca,,OBA Conference Centre,Toronto,ON,Canada,,,,alicea@cba.org,Alice An,,,,,
Thomson Reuters Annual Law Firm COO & CFO Forum,['Promoter'],"['Law firms', 'Marketers', 'Operators']",['Sponsor'],500-1000 people,11/02/2023,11/03/2023,https://www.thomsonreuters.com/en-us/posts/events/the-22nd-annual-law-firm-coo-cfo-forum/,https://www.thomsonreuters.com/en-us/posts/events/the-22nd-annual-law-firm-coo-cfo-forum/,,https://www.linkedin.com/company/thomson-reuters,,Conrad,Washington,DC,USA,"$2,395.00",,,,,,https://www.thomsonreuters.com/en-us/posts/events/the-22nd-annual-law-firm-coo-cfo-forum/,Calibrate CoreTech Leasing Epiq Forrest Solutions Legal Profit Recovery Partners RSM Strategic Insights Withum BigHand Canon Business Process Services Citrinoman & Company Cohn Financial Group Corpay Decipher Investigative Intelligence Equilar First American Legal Finance Frontline Managed Services Grant Thornton LLP Integreon IST Management Law Finance Group Lawyers Travel Moss Adams RRD Sage Intacct Shared Legal Services Uptime Legal,,
California Legal Awards,['Promoter'],"['In-House', 'Law firms']","['Attend (member)', 'Attend (non-member)', 'Sponsor']",100-500 people,11/02/2023,11/02/2023,https://www.event.law.com/california-legal-awards/3485385,https://www.event.law.com/california-legal-awards/sponsors,,,,Westin St. Francis San Francisco,San Francisco,CA,USA,,,,asutton@alm.com,Andre Sutton,,,fulcrumGT,,
California Lawyers Association IP Institute,"['Bar Assn', 'Practice Assn']","['In-House', 'Law firms']","['Attend (member)', 'Attend (non-member)', 'Sponsor', 'Exhibit']",100-500 people,11/02/2023,11/04/2023,https://calawyers.org/event/47th-ip-institute/,,,https://www.linkedin.com/company/the-california-lawyers-association/,,Omni Hotel San Diego Gaslamp District,San Diego,CA,USA,,,,,,,,,,
Annual Energy Litigation Conference,['Practice Assn'],['Law firms'],"['Attend (non-member)', 'Sponsor', 'Exhibit']",100-500 people,11/02/2023,11/02/2023,https://www.cailaw.org/institute-for-energy-law/events/2023/energy-litigation-conference.html,https://www.cailaw.org/institute-for-energy-law/sponsorship-opportunities.html,,https://www.linkedin.com/company/institute-for-energy-law/,,Hilton Houston Post Oak,Houston,TX,USA,$485.00,$550.00,10/12/2023,lhogarth@cailaw.org,Lilly Hogarth,,,JAMS Steptoe & Johnson McGuire Woods Olivia Gibbs LLP Liskow Jones Walker Baker O’Brien Conoco Phillips FTI Consulting Norton Rose Fulbright Haynes Boone Exponent,,
New Jersey State Bar Association Mid-Year Meeting,['Bar Assn'],"['In-House', 'Law firms', 'Operators']","['Attend (member)', 'Sponsor']",100-500 people,11/04/2023,11/11/2023,https://njsba.com/meetings-events/mid-year-meeting/,https://njsba.com/meetings-events/mid-year-meeting/2023-mid-year-meeting-sponsors/,https://njsba.com/wp-content/uploads/2023/07/Spons-Corp-Form-Fillable-23-MYM.pdf,https://www.linkedin.com/company/njstatebar/,,Paris,Paris,,France,,,,,,,https://njsba.com/meetings-events/mid-year-meeting/2023-mid-year-meeting-sponsors/,Marcum LEAP Smolin USI Affinity Cg Morgan Stanley The Roberts Group Berse Law LLC,,
National Contract Management Association - Government Contract Symposium,['Practice Assn'],"['In-House', 'Law firms', 'Government']","['Attend (member)', 'Attend (non-member)', 'Expo pass', 'Sponsor', 'Exhibit']",500-1000 people,11/06/2023,11/07/2023,https://www.ncmahq.org/Web/Web/Events/Government-Contract-Management-Symposium.aspx?hkey=721449c9-6914-4cdb-9ad0-686b175b991e,,https://www.ncmahq.org/common/Uploaded%20files/Events/GCMS/GCMS%2023%20Prospectus.pdf,https://www.linkedin.com/company/ncma/,,Bethesda North Marriott Hotel and Conference Center,Rockville,MD,USA,"$1,125.00","$1,225.00",10/03/2023,memberservices@ncmahq.org,,,,,,
Annual Law of Policing Conference,"['Promoter', 'Practice Assn']","['Government', 'In-House']","['Sponsor', 'Attend (member)', 'Attend (non-member)']",100-500 people,11/07/2023,11/08/2023,https://www.canadianinstitute.com/law-policing-conference/,https://www.canadianinstitute.com/law-policing-conference/sponsors/,,https://www.linkedin.com/company/the-canadian-institute/,,Sheraton Vancouver Guildford Hotel,Surrey,BC,Canada,"$1,795.00",,08/18/2023,marketinginquiry@canadianinstitute.com,-,,https://www.canadianinstitute.com/law-policing-conference/sponsors/,Canadian Association of Police Governance Privacy & Access Council of Canada,,
